Sample,Species,Crustacean,Condition,Water,Type,Region,Study
BSF1,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF2,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF3,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF4,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSF5,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP1,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP2,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP3,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP4,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
BSFLP5,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2021
C1,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C10,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C11,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C12,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C2,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C3,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C4,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C5,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C7,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C8,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
C9,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020c
CMC33,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC34,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC35,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC36,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC37,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC38,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC39,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC40,Chinese_mitten_crab,Crab,Health,Freshwater,Paired,V3V4,Dong2018
CMC537,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC538,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC539,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC540,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC541,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC542,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC543,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC544,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC545,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC546,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC547,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC548,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC549,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC550,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC551,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC552,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC553,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC554,Chinese_mitten_crab,Crab,Environment,Freshwater,Paired,V3V4,Su2020
CMC56,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC57,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC58,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC59,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC60,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC61,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC62,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC63,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC64,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC65,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC67,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC68,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC69,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC70,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC71,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC72,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC73,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC74,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC75,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC76,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC77,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC78,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC79,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC80,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC81,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC82,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC83,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC84,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC85,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC86,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC87,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC88,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC89,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC90,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC91,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC92,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC93,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC94,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC95,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC96,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC97,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC98,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
CMC99,Chinese_mitten_crab,Crab,Environment,Freshwater,Single,V4V5,Sun2020
D2A,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020b
D2B,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020b
D2C,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020b
D2D,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020b
D2E,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020b
D2F,Marron,Crayfish,Diet,Freshwater,Paired,V3V4,Foysal2020b
EL533,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL534,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL535,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL536,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL537,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL538,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL539,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL540,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL541,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL542,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL543,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL544,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL545,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL546,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL547,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL548,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL549,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL550,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL551,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL552,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL553,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL554,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL555,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL556,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL557,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL558,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL559,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL560,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL561,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL562,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL563,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL564,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL566,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL567,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL568,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL569,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL570,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL571,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
EL572,European_lobster,Lobster,Environment,Saltwater,Paired,V3V4,Holt2020
