OTU,Domain,Phylum,Class,Order,Family,Genus
DENOVO13645,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,,
DENOVO13646,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured
DENOVO13647,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,
DENOVO13648,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured phototrophic eukaryote,uncultured phototrophic eukaryote
DENOVO13649,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured
DENOVO13650,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,uncultured bacterium
DENOVO13651,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,
DENOVO13652,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured bacterium,uncultured bacterium
DENOVO13653,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia
DENOVO13654,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
DENOVO13655,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO13656,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
DENOVO13657,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
DENOVO13658,Unclassified,,,,,
DENOVO13659,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
DENOVO13660,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13661,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
DENOVO13662,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured
